Instance,NumVariables,OriginalOrder,Method,Status,ReducedOrder,OrderRatio,Reduced,AuxiliaryLPTime,BasisTime,TotalTime
fhnw-binpack4-18,520,521,Partial FR (D),OPTIMAL,521,1,0,0.0578735833333333,0.0004255,0.0582990833333333
fhnw-binpack4-18,520,521,Partial FR (DD),OPTIMAL,521,1,0,0.0696749583333333,0.000582208333333333,0.0702571666666667
fhnw-binpack4-4,520,521,Affine FR,OPTIMAL,521,1,0,0.0139660416666667,0.000479916666666667,0.0144459583333333
fhnw-binpack4-4,520,521,Partial FR (D),OPTIMAL,521,1,0,0.0579204583333333,0.000508625,0.0584290833333333
fhnw-binpack4-4,520,521,Partial FR (DD),OPTIMAL,521,1,0,0.0664619166666667,0.000501958333333333,0.066963875
danoint,521,522,Affine FR,OPTIMAL,379,0.726053639846743,1,0.0201635,0.0280264166666667,0.0481899166666667
danoint,521,522,Partial FR (D),OPTIMAL,522,1,0,0.060825625,0.0004575,0.061283125
danoint,521,522,Partial FR (DD),OPTIMAL,522,1,0,0.061764125,0.000420416666666667,0.0621845416666667
neos-480878,534,535,Affine FR,OPTIMAL,499,0.932710280373832,1,0.023928375,0.0225357916666667,0.0464641666666667
neos-480878,534,535,Partial FR (D),OPTIMAL,535,1,0,0.0632797083333333,0.000396541666666667,0.06367625
neos-480878,534,535,Partial FR (DD),OPTIMAL,535,1,0,0.0700124583333333,0.000421208333333333,0.0704336666666667
neos17,535,536,Affine FR,OPTIMAL,511,0.953358208955224,1,0.0114437916666667,0.0204204583333333,0.03186425
neos17,535,536,Partial FR (D),OPTIMAL,536,1,0,0.0567672916666667,0.000491416666666667,0.0572587083333333
neos17,535,536,Partial FR (DD),OPTIMAL,536,1,0,0.0616552083333333,0.000402333333333333,0.0620575416666667
dcmulti,548,549,Affine FR,OPTIMAL,471,0.85792349726776,1,0.014607625,0.02413525,0.038742875
dcmulti,548,549,Partial FR (D),OPTIMAL,549,1,0,0.0551026666666667,0.000492583333333333,0.05559525
dcmulti,548,549,Partial FR (DD),OPTIMAL,549,1,0,0.061820625,0.000448875,0.0622695
assign1-10-4,572,573,Affine FR,OPTIMAL,512,0.893542757417103,1,0.0240420833333333,0.0281206666666667,0.05216275
assign1-10-4,572,573,Partial FR (D),OPTIMAL,573,1,0,0.129124625,0.000485291666666667,0.129609916666667
assign1-10-4,572,573,Partial FR (DD),OPTIMAL,573,1,0,0.0777038333333333,0.000508416666666667,0.07821225
neos-3072252-nete,576,577,Affine FR,OPTIMAL,434,0.752166377816291,1,0.01064625,0.0283497916666667,0.0389960416666667
neos-3072252-nete,576,577,Partial FR (D),OPTIMAL,577,1,0,0.0633822083333333,0.000544541666666667,0.06392675
neos-3072252-nete,576,577,Partial FR (DD),OPTIMAL,577,1,0,0.0702003333333333,0.000475208333333333,0.0706755416666667
sp150x300d,600,601,Affine FR,OPTIMAL,452,0.752079866888519,1,0.0112426666666667,0.034584375,0.0458270416666667
sp150x300d,600,601,Partial FR (D),OPTIMAL,601,1,0,0.0720570833333333,0.000513708333333333,0.0725707916666667
sp150x300d,600,601,Partial FR (DD),OPTIMAL,601,1,0,0.0787989166666667,0.00048575,0.0792846666666667
rd-rplusc-21,622,623,Affine FR,OPTIMAL,485,0.778491171749599,1,0.266407708333333,0.0319553333333333,0.298363041666667
rd-rplusc-21,622,623,Partial FR (D),OPTIMAL,623,1,0,0.231746958333333,0.000806166666666667,0.232553125
rd-rplusc-21,622,623,Partial FR (DD),OPTIMAL,623,1,0,0.231418708333333,0.000697125,0.232115833333333
milo-v13-4-3d-4-0,688,689,Affine FR,OPTIMAL,241,0.34978229317852,1,0.0191608333333333,0.0378715,0.0570323333333333
milo-v13-4-3d-4-0,688,689,Partial FR (D),OPTIMAL,689,1,0,0.0932789166666667,0.000668875,0.0939477916666667
milo-v13-4-3d-4-0,688,689,Partial FR (DD),OPTIMAL,689,1,0,0.103224333333333,0.00108195833333333,0.104306291666667
r50x360,720,721,Affine FR,OPTIMAL,672,0.932038834951456,1,0.0102277083333333,0.0366560416666667,0.04688375
r50x360,720,721,Partial FR (D),OPTIMAL,721,1,0,0.0917965416666667,0.000780625,0.0925771666666667
r50x360,720,721,Partial FR (DD),OPTIMAL,721,1,0,0.100163125,0.000723208333333333,0.100886333333333
neos-1442119,728,729,Affine FR,OPTIMAL,729,1,0,0.007733875,0.000925166666666667,0.00865904166666667
neos-1442119,728,729,Partial FR (D),OPTIMAL,729,1,0,0.08534,0.000778958333333333,0.0861189583333333
neos-1442119,728,729,Partial FR (DD),OPTIMAL,729,1,0,0.0889527083333333,0.000727791666666667,0.0896805
pigeon-13,754,755,Affine FR,OPTIMAL,690,0.913907284768212,1,0.0124585416666667,0.0588279166666667,0.0712864583333333
pigeon-13,754,755,Partial FR (D),OPTIMAL,755,1,0,0.103908458333333,0.000811208333333333,0.104719666666667
pigeon-13,754,755,Partial FR (DD),OPTIMAL,755,1,0,0.111160375,0.00100691666666667,0.112167291666667
opt1217,769,770,Affine FR,OPTIMAL,722,0.937662337662338,1,0.0080495,0.047622625,0.055672125
opt1217,769,770,Partial FR (D),OPTIMAL,770,1,0,0.101060708333333,0.000782625,0.101843333333333
opt1217,769,770,Partial FR (DD),OPTIMAL,770,1,0,0.110222125,0.000788833333333333,0.111010958333333
