archive,family,member,instance_id,num_vars,declared_clauses,parsed_clauses,eligible,skip_reason,solver_status,solver_objective,support_count,has_nonzero_reduction,primal_residual,solver_runtime_seconds,wall_runtime_seconds,message
inductive-inference.tar.gz,inductive-inference,ii8e1.cnf,inductive-inference.tar.gz::ii8e1.cnf,520,3136,3136,True,,OPTIMAL,-0.0,0,False,0.0,0.008315086364746094,0.02778358300002992,
inductive-inference.tar.gz,inductive-inference,ii8e2.cnf,inductive-inference.tar.gz::ii8e2.cnf,870,6121,6121,True,,OPTIMAL,-0.0,0,False,0.0,0.01517796516418457,0.0555703339999809,
jnh.tar.gz,jnh,jnh1.cnf,jnh.tar.gz::jnh1.cnf,100,850,850,True,,OPTIMAL,-0.0,0,False,0.0,0.00873112678527832,0.01678900000001704,
jnh.tar.gz,jnh,jnh10.cnf,jnh.tar.gz::jnh10.cnf,100,850,850,True,,OPTIMAL,3.0,3,True,0.0,0.009020090103149414,0.015672624999979234,
jnh.tar.gz,jnh,jnh11.cnf,jnh.tar.gz::jnh11.cnf,100,850,850,True,,OPTIMAL,2.0,2,True,0.0,0.008151054382324219,0.014965541999970355,
jnh.tar.gz,jnh,jnh12.cnf,jnh.tar.gz::jnh12.cnf,100,850,850,True,,OPTIMAL,4.0,4,True,0.0,0.010177850723266602,0.017378291999989415,
jnh.tar.gz,jnh,jnh13.cnf,jnh.tar.gz::jnh13.cnf,100,850,850,True,,OPTIMAL,-0.0,0,False,0.0,0.010109901428222656,0.01706050000001369,
jnh.tar.gz,jnh,jnh14.cnf,jnh.tar.gz::jnh14.cnf,100,850,850,True,,OPTIMAL,10.0,10,True,0.0,0.011383056640625,0.018811792000008154,
jnh.tar.gz,jnh,jnh15.cnf,jnh.tar.gz::jnh15.cnf,100,850,850,True,,OPTIMAL,-0.0,0,False,0.0,0.010454893112182617,0.017551707999984956,
jnh.tar.gz,jnh,jnh16.cnf,jnh.tar.gz::jnh16.cnf,100,850,850,True,,OPTIMAL,2.0,2,True,0.0,0.00993800163269043,0.017220707999968,
jnh.tar.gz,jnh,jnh17.cnf,jnh.tar.gz::jnh17.cnf,100,850,850,True,,OPTIMAL,4.0,4,True,0.0,0.009794950485229492,0.016727458999980627,
jnh.tar.gz,jnh,jnh18.cnf,jnh.tar.gz::jnh18.cnf,100,850,850,True,,OPTIMAL,-0.0,0,False,0.0,0.00933384895324707,0.01615258399999675,
jnh.tar.gz,jnh,jnh19.cnf,jnh.tar.gz::jnh19.cnf,100,850,850,True,,OPTIMAL,4.0,4,True,0.0,0.009664058685302734,0.01656216700001778,
jnh.tar.gz,jnh,jnh2.cnf,jnh.tar.gz::jnh2.cnf,100,850,850,True,,OPTIMAL,4.0,4,True,0.0,0.00946807861328125,0.01656787499996426,
jnh.tar.gz,jnh,jnh20.cnf,jnh.tar.gz::jnh20.cnf,100,850,850,True,,OPTIMAL,2.0,2,True,0.0,0.010200023651123047,0.016899374999979955,
jnh.tar.gz,jnh,jnh201.cnf,jnh.tar.gz::jnh201.cnf,100,800,800,True,,OPTIMAL,-0.0,0,False,0.0,0.0068089962005615234,0.013396458999977767,
jnh.tar.gz,jnh,jnh202.cnf,jnh.tar.gz::jnh202.cnf,100,800,800,True,,OPTIMAL,4.0,4,True,0.0,0.009415149688720703,0.01619604199999003,
jnh.tar.gz,jnh,jnh203.cnf,jnh.tar.gz::jnh203.cnf,100,800,800,True,,OPTIMAL,-0.0,0,False,0.0,0.009582042694091797,0.016109040999992885,
jnh.tar.gz,jnh,jnh204.cnf,jnh.tar.gz::jnh204.cnf,100,800,800,True,,OPTIMAL,-0.0,0,False,0.0,0.00887298583984375,0.015386750000004668,
jnh.tar.gz,jnh,jnh205.cnf,jnh.tar.gz::jnh205.cnf,100,800,800,True,,OPTIMAL,2.0,2,True,0.0,0.00928807258605957,0.015914749999978994,
jnh.tar.gz,jnh,jnh206.cnf,jnh.tar.gz::jnh206.cnf,100,800,800,True,,OPTIMAL,-0.0,0,False,0.0,0.009339094161987305,0.018835041999977875,
jnh.tar.gz,jnh,jnh207.cnf,jnh.tar.gz::jnh207.cnf,100,800,800,True,,OPTIMAL,4.0,4,True,0.0,0.008323907852172852,0.014915792000010697,
jnh.tar.gz,jnh,jnh208.cnf,jnh.tar.gz::jnh208.cnf,100,800,800,True,,OPTIMAL,3.0,3,True,0.0,0.009497880935668945,0.016047874999969736,
jnh.tar.gz,jnh,jnh209.cnf,jnh.tar.gz::jnh209.cnf,100,800,800,True,,OPTIMAL,-0.0,0,False,0.0,0.008836984634399414,0.015258208000034301,
jnh.tar.gz,jnh,jnh210.cnf,jnh.tar.gz::jnh210.cnf,100,800,800,True,,OPTIMAL,8.0,8,True,0.0,0.008477926254272461,0.015032875000031254,
jnh.tar.gz,jnh,jnh211.cnf,jnh.tar.gz::jnh211.cnf,100,800,800,True,,OPTIMAL,-0.0,0,False,0.0,0.008111953735351562,0.014453416999970159,
jnh.tar.gz,jnh,jnh212.cnf,jnh.tar.gz::jnh212.cnf,100,800,800,True,,OPTIMAL,4.0,4,True,0.0,0.010790109634399414,0.017695916999969086,
jnh.tar.gz,jnh,jnh213.cnf,jnh.tar.gz::jnh213.cnf,100,800,800,True,,OPTIMAL,3.0,3,True,0.0,0.008878946304321289,0.015184374999989814,
jnh.tar.gz,jnh,jnh214.cnf,jnh.tar.gz::jnh214.cnf,100,800,800,True,,OPTIMAL,-0.0,0,False,0.0,0.008428812026977539,0.015114334000031704,
jnh.tar.gz,jnh,jnh215.cnf,jnh.tar.gz::jnh215.cnf,100,800,800,True,,OPTIMAL,8.0,8,True,0.0,0.008356094360351562,0.015150708999954077,
jnh.tar.gz,jnh,jnh216.cnf,jnh.tar.gz::jnh216.cnf,100,800,800,True,,OPTIMAL,-0.0,0,False,0.0,0.008033990859985352,0.014667500000030032,
jnh.tar.gz,jnh,jnh217.cnf,jnh.tar.gz::jnh217.cnf,100,800,800,True,,OPTIMAL,-0.0,0,False,0.0,0.008955001831054688,0.015783208000016202,
jnh.tar.gz,jnh,jnh218.cnf,jnh.tar.gz::jnh218.cnf,100,800,800,True,,OPTIMAL,4.0,4,True,0.0,0.009341001510620117,0.016087666999965222,
jnh.tar.gz,jnh,jnh219.cnf,jnh.tar.gz::jnh219.cnf,100,800,800,True,,OPTIMAL,-0.0,0,False,0.0,0.008665084838867188,0.015357624999978725,
jnh.tar.gz,jnh,jnh220.cnf,jnh.tar.gz::jnh220.cnf,100,800,800,True,,OPTIMAL,-0.0,0,False,0.0,0.008898019790649414,0.015542125000024498,
jnh.tar.gz,jnh,jnh3.cnf,jnh.tar.gz::jnh3.cnf,100,850,850,True,,OPTIMAL,-0.0,0,False,0.0,0.009120941162109375,0.01605637500000512,
jnh.tar.gz,jnh,jnh301.cnf,jnh.tar.gz::jnh301.cnf,100,900,900,True,,OPTIMAL,-0.0,0,False,0.0,0.010041952133178711,0.01744387500002631,
jnh.tar.gz,jnh,jnh302.cnf,jnh.tar.gz::jnh302.cnf,100,900,900,True,,OPTIMAL,10.0,10,True,0.0,0.009999990463256836,0.01729116699999622,
jnh.tar.gz,jnh,jnh303.cnf,jnh.tar.gz::jnh303.cnf,100,900,900,True,,OPTIMAL,-0.0,0,False,0.0,0.010476827621459961,0.017565792000027614,
jnh.tar.gz,jnh,jnh304.cnf,jnh.tar.gz::jnh304.cnf,100,900,900,True,,OPTIMAL,4.0,4,True,0.0,0.010690927505493164,0.018199499999980162,
jnh.tar.gz,jnh,jnh305.cnf,jnh.tar.gz::jnh305.cnf,100,900,900,True,,OPTIMAL,-0.0,0,False,0.0,0.010716915130615234,0.01786037499999793,
jnh.tar.gz,jnh,jnh306.cnf,jnh.tar.gz::jnh306.cnf,100,900,900,True,,OPTIMAL,2.0,2,True,0.0,0.011140108108520508,0.021983459000011862,
jnh.tar.gz,jnh,jnh307.cnf,jnh.tar.gz::jnh307.cnf,100,900,900,True,,OPTIMAL,3.0,3,True,0.0,0.010131120681762695,0.017434750000006716,
jnh.tar.gz,jnh,jnh308.cnf,jnh.tar.gz::jnh308.cnf,100,900,900,True,,OPTIMAL,-0.0,0,False,0.0,0.010605096817016602,0.01868045800000573,
jnh.tar.gz,jnh,jnh309.cnf,jnh.tar.gz::jnh309.cnf,100,900,900,True,,OPTIMAL,8.0,8,True,0.0,0.010251045227050781,0.01857400000000098,
jnh.tar.gz,jnh,jnh310.cnf,jnh.tar.gz::jnh310.cnf,100,900,900,True,,OPTIMAL,-0.0,0,False,0.0,0.011628150939941406,0.019121958999960498,
jnh.tar.gz,jnh,jnh4.cnf,jnh.tar.gz::jnh4.cnf,100,850,850,True,,OPTIMAL,4.0,4,True,0.0,0.009911060333251953,0.017195749999984855,
jnh.tar.gz,jnh,jnh5.cnf,jnh.tar.gz::jnh5.cnf,100,850,850,True,,OPTIMAL,2.0,2,True,0.0,0.011037111282348633,0.01837625000001708,
jnh.tar.gz,jnh,jnh6.cnf,jnh.tar.gz::jnh6.cnf,100,850,850,True,,OPTIMAL,-0.0,0,False,0.0,0.01022195816040039,0.017281708999973944,
jnh.tar.gz,jnh,jnh7.cnf,jnh.tar.gz::jnh7.cnf,100,850,850,True,,OPTIMAL,8.0,8,True,0.0,0.010288000106811523,0.01740933300004599,
jnh.tar.gz,jnh,jnh8.cnf,jnh.tar.gz::jnh8.cnf,100,850,850,True,,OPTIMAL,-0.0,0,False,0.0,0.009976863861083984,0.01710779199999024,
jnh.tar.gz,jnh,jnh9.cnf,jnh.tar.gz::jnh9.cnf,100,850,850,True,,OPTIMAL,6.0,6,True,0.0,0.011404991149902344,0.018426625000017793,
